x,y,z
-146,125,-3.7423
-146,124,-3.4564
-146,123,-3.1317
-146,122,-3.1946
-146,121,-3.4175
-146,120,-3.4175
-146,119,-3.4175
-146,118,-3.4175
-146,117,-3.4175
-146,116,-3.4175
-146,115,-3.4175
-146,114,-3.4175
-146,113,-3.4175
-146,112,-3.4175
-146,111,-3.4175
-146,110,-3.4175
-146,109,-3.4175
-146,108,-3.4175
-146,107,-3.4175
-146,106,-3.4175
-146,105,-3.4175
-146,104,-3.4175
-146,103,-3.4175
-146,102,-3.4175
-146,101,-3.4175
-146,100,-3.4175
-146,99,-3.4175
-146,98,-3.4175
-146,97,-3.4175
-146,96,-3.4175
-146,95,-3.395
-146,94,-3.3638
-146,93,-3.3326
-146,92,-3.3014
-146,91,-3.2701
-146,90,-3.2389
-146,89,-3.2077
-146,88,-3.1765
-146,87,-3.1452
-146,86,-3.114
-146,85,-3.0828
-146,84,-3.0515
-146,83,-3.0203
-146,82,-2.9891
-146,81,-2.9579
-146,80,-2.9266
-146,79,-2.8954
-146,78,-2.8642
-146,77,-2.8329
-146,76,-2.8017
-146,75,-2.7705
-146,74,-2.7393
-146,73,-2.708
-146,72,-2.6768
-146,71,-2.6456
-146,70,-2.6143
-146,69,-2.5831
-146,68,-2.5519
-146,67,-2.5207
-146,66,-2.4894
-146,65,-2.4582
-146,64,-2.427
-146,63,-2.3957
-146,62,-2.3645
-146,61,-2.3333
-146,60,-2.3021
-146,59,-2.2708
-146,58,-2.2396
-146,57,-2.2084
-146,56,-2.1771
-146,55,-2.1459
-146,54,-2.1147
-146,53,-2.0835
-146,52,-2.0522
-146,51,-2.021
-146,50,-2.0001
-146,49,-2.0001
-146,48,-2.0001
-146,47,-2.0001
-146,46,-2.0001
-146,45,-2.0001
-146,44,-2.0001
-146,43,-2.0001
-146,42,-2.0001
-146,41,-0.73501
-146,40,1.1637
-146,39,2.9999
-146,38,2.9999
-146,37,2.9999
-146,36,2.9999
-146,35,2.9999
-146,34,2.9999
-146,33,2.9999
-146,32,2.9999
-146,31,2.9999
-146,30,2.9999
-146,29,2.9999
-146,28,2.9999
-146,27,2.9999
-146,26,2.9999
-146,25,2.9999
-146,24,2.9999
-146,23,2.9999
-146,22,2.9999
-146,21,2.9999
-146,20,2.9999
-146,19,2.9999
-146,18,2.9999
-146,17,2.9999
-146,16,2.9999
-146,15,2.9999
-146,14,2.9999
-146,13,2.9999
-146,12,2.9999
-146,11,2.1725
-146,10,0.50583
-146,9,-1.1149
-146,8,-2.0001
-146,7,-2.0001
-146,6,-2.0001
-146,5,-2.0001
-146,4,-2.0001
-146,3,-2.0001
-146,2,-2.0001
-146,1,-2.0001
-146,0,-2.0001
-145,200,-29.472
-145,199,-29.132
-145,198,-28.793
-145,197,-28.454
-145,196,-28.115
-145,195,-27.775
-145,194,-27.436
-145,193,-27.047
-145,192,-26.64
-145,191,-26.233
-145,190,-25.825
-145,189,-25.418
-145,188,-25.011
-145,187,-24.62
-145,186,-24.229
-145,185,-23.838
-145,184,-23.448
-145,183,-23.053
-145,182,-22.583
-145,181,-22.113
-145,180,-21.644
-145,179,-21.174
-145,178,-20.704
-145,177,-20.234
-145,176,-19.671
-145,175,-19.01
-145,174,-18.35
-145,173,-17.69
-145,172,-17.029
-145,171,-16.369
-145,170,-15.709
-145,169,-15.048
-145,168,-15
-145,167,-15
-145,166,-14.598
-145,165,-13.689
-145,164,-12.3
-145,163,-10.911
-145,162,-10
-145,161,-9.5483
-145,160,-8.7286
-145,159,-7.909
-145,158,-7.1543
-145,157,-6.505
-145,156,-5.8556
-145,155,-5.2063
-145,154,-4.8935
-145,153,-4.7372
-145,152,-4.5736
-145,151,-4.3982
-145,150,-4.283
-145,149,-4.2159
-145,148,-4.1488
-145,147,-4.0817
-145,146,-4.0146
-145,145,-4.0001
-145,144,-4.0001
-145,143,-4.0001
-145,142,-4.0001
-145,141,-4.0001
-145,140,-4.0001
-145,139,-4.0001
-145,138,-4.0001
-145,137,-4.0001
-145,136,-4.0001
-145,135,-4.0001
-145,134,-4.0001
-145,133,-4.0001
-145,132,-4.0001
-145,131,-3.9821
-145,130,-3.7605
-145,129,-3.7943
-145,128,-3.8489
-145,127,-3.9034
-145,126,-3.9579
-145,125,-3.983
-145,124,-3.6666
-145,123,-3.342
-145,122,-3.0173
-145,121,-3.3099
-145,120,-3.5604
-145,119,-3.5604
-145,118,-3.5604
-145,117,-3.5604
-145,116,-3.5604
-145,115,-3.5604
-145,114,-3.5604
-145,113,-3.5604
-145,112,-3.5604
-145,111,-3.5604
-145,110,-3.5604
-145,109,-3.5604
-145,108,-3.5604
-145,107,-3.5604
-145,106,-3.5604
-145,105,-3.5604
-145,104,-3.5604
-145,103,-3.5604
-145,102,-3.5604
-145,101,-3.5604
-145,100,-3.5319
-145,99,-3.5007
-145,98,-3.4694
-145,97,-3.4382
-145,96,-3.407
-145,95,-3.3757
-145,94,-3.3445
-145,93,-3.3133
-145,92,-3.2821
-145,91,-3.2508
-145,90,-3.2196
-145,89,-3.1884
-145,88,-3.1571
-145,87,-3.1259
-145,86,-3.0947
-145,85,-3.0635
-145,84,-3.0322
-145,83,-3.001
-145,82,-2.9698
-145,81,-2.9385
-145,80,-2.9073
-145,79,-2.8761
-145,78,-2.8449
-145,77,-2.8136
-145,76,-2.7824
-145,75,-2.7512
-145,74,-2.7199
-145,73,-2.6887
-145,72,-2.6575
-145,71,-2.6263
-145,70,-2.595
-145,69,-2.5638
-145,68,-2.5326
-145,67,-2.5013
-145,66,-2.4701
-145,65,-2.4389
-145,64,-2.4077
-145,63,-2.3764
-145,62,-2.3452
-145,61,-2.314
-145,60,-2.2828
-145,59,-2.2515
-145,58,-2.2203
-145,57,-2.1891
-145,56,-2.1578
-145,55,-2.1266
-145,54,-2.0954
-145,53,-2.0642
-145,52,-2.0329
-145,51,-2.0017
-145,50,-2.0001
-145,49,-2.0001
-145,48,-2.0001
-145,47,-2.0001
-145,46,-2.0001
-145,45,-2.0001
-145,44,-2.0001
-145,43,-2.0001
-145,42,-2.0001
-145,41,-1.6211
-145,40,0.27765
-145,39,1.5621
-145,38,2.7537
-145,37,2.9999
-145,36,2.9999
-145,35,2.9999
-145,34,2.9999
-145,33,2.9999
-145,32,2.9999
-145,31,2.9999
-145,30,2.9999
-145,29,2.9999
-145,28,2.9999
-145,27,2.9999
-145,26,2.9999
-145,25,2.9999
-145,24,2.9999
-145,23,2.9999
-145,22,2.9999
-145,21,2.9999
-145,20,2.9999
-145,19,2.9999
-145,18,2.9999
-145,17,2.9999
-145,16,2.9999
-145,15,2.9999
-145,14,2.9999
-145,13,2.9999
-145,12,2.9999
-145,11,2.1725
-145,10,0.50583
-145,9,-1.1608
-145,8,-2.0001
-145,7,-2.0001
-145,6,-2.0001
-145,5,-2.0001
-145,4,-2.0001
-145,3,-2.0001
-145,2,-2.0001
-145,1,-2.0001
-145,0,-2.0001
-144,200,-29.67
-144,199,-29.331
-144,198,-28.992
-144,197,-28.652
-144,196,-28.313
-144,195,-27.974
-144,194,-27.597
-144,193,-27.19
-144,192,-26.783
-144,191,-26.375
-144,190,-25.968
-144,189,-25.561
-144,188,-25.153
-144,187,-24.756
-144,186,-24.366
-144,185,-23.975
-144,184,-23.561
-144,183,-23.091
-144,182,-22.621
-144,181,-22.151
-144,180,-21.681
-144,179,-21.197
-144,178,-20.707
-144,177,-20.217
-144,176,-19.539
-144,175,-18.864
-144,174,-18.319
-144,173,-17.67
-144,172,-17.02
-144,171,-16.371
-144,170,-15.722
